message_type,sender_address,receiver_address,amount,transaction_flag,message_length
normal,0xaed548b0ad2ad42d36a65fc9fbb7365290273735,0xadebdbe4ffde843c5c0942476dafed98f4081ed2,12.7777,1,115
begging,0x380d92bab460b09297a542e4b0198e2c87e43c62,0x62afa887ea89b1b66c12e70d25de9412bdf3ddb4,1.559,1,97
scam,0x87bd4dc83166db001549b0f7dd10ed8172a97987,0xc1d0a09e6109925ce9325a327c9bc34db8d33032,97.4377,1,210
normal,0xd5d04ef6b199bde888fc75394a7e49cbb2e35d4e,0x187b0ea64e520ab88273cce8678ddb6803c87968,6.0098,1,104
scam,0x5f8676e6b77d71e6dadf79e40929b9c9eb05f320,0x3e5a82554fb4ff75ee00ec09483e2ae03411d186,25.5839,1,103
scam,0xb24f764ddad17b04d51d4a66b0c92ad716493983,0x5272851ed4624ebeef2cd55b020d0835760af679,45.4424,1,119
begging,0x523dd0af40c1c3a03a4c1a0df6067eba29f46469,0xdacc43d56c35b79bae4905b54b673b96f0f2f77b,1.7263,1,54
normal,0x475059e62105e77b8d130a7cd6f85ea9b5165416,0xbd5e31205f5eebdb26cd1592ebddca2e925c7173,5.8088,1,137
begging,0x1ca9170b4ac3e9b636d21179e3359dd4ccba13ed,0x55148644802487bce53eb55921ba0feb973994ea,2.0705,1,92
normal,0x148c341bff47f5e9721ff9029420df646d2815b9,0x3dc22b981b7152e79d208287e60827ee391c2f22,5.9288,1,148
begging,0xfd53d6a55604791a2377121504c19f547770f567,0xab48950b47158a6efc236cb73d8c1eea684c1f34,2.012,1,136
begging,0xe7d01d339e94e345a318e63f434547484e135be5,0xcc29287e7165fb9c975996f6a2144379bda828db,2.0817,1,89
normal,0x8e0c9e1b8c145905c0b109af197b429f0db71443,0xa6dc3b6dd7fc8a7ccec4aa6dfca525162b29a672,16.0512,1,83
begging,0x9a10418bb3be42f9213b57465d1df10b04fc8b7b,0xb56232fbf467593f3d4db7f63679734a87ec5efa,10.9043,1,119
normal,0x30c4a5d0ff563bac34e411e6b0e414a03aedcefa,0x5c05276b7aa873350baf6378b7d320effc2b28f5,15.1337,1,125
normal,0x7dcd364c61661834374cb1eea2e1a7b773212681,0x64f1cab8f52cd112cfe0f364bb4e5487f3cf9503,4.4533,1,72
normal,0xe0674754240ffcd91dcb7b678af6c0c766c104d1,0xe512e617f991e02976ce472b77e6e8c09d1faa2d,6.5375,1,151
normal,0xfa8746ce75c51abe7252beea061b83a2dc03d04b,0x9b22920149ea6f5465fa27c61546b61eada8292e,4.0903,1,124
normal,0xdf67fbf85809118265b372fb4e305fa7f9e99b4f,0x649c36ab6f03349f63204db5102ee19e81b7181b,5.619,1,138
normal,0x7ffb28758462bdc6a2f623be95267b9414f864c9,0x08abccf5f987e42ce22c9c453737aa43460414e9,13.5649,1,146
begging,0x64eba11d3f5579cf2f1edbe03d7cf3f6121ea929,0xdfa1841270856f03d2b26e94b906f96d22acf113,1.7867,0,82
normal,0xf3c95ef725e7f493655a1966353c437c4a9bafc5,0x06875acdf42fc8ff65453dd2d9eed5ff86eb4097,3.1402,1,152
normal,0x6ee5f1e1d285c33d424a05b6a280881d9f48b325,0x88c8c89018988a3b9e921971dbc1ec5636c7872b,4.1602,1,84
normal,0xccfded69e5a45abe0285eb8e3dcc5302124dd67b,0x15b3a223cf2bd3b26121a1650753afb98b8a0669,16.1894,1,128
normal,0x0907804424fc225daae4227dfe85b6068adba35a,0x50dd7a2e75f34fec4dea9884019946f0c0617e56,11.6249,1,100
normal,0x292cdd487b5de437d65217f9a89b91d3d82602fe,0x21b9178f03dce830cf07144e7941c6c51824aa79,25.708,1,130
normal,0x607d5a2f34311a2a2e9a7468bbcd27e0f039d474,0x76b02aac10637b2ad781ab883a8f93650bcd708f,1.4422,1,144
normal,0xc9529a07f6906ae91f9044b365bc545fbaefecc1,0x20afb3f0e0b8893c0ce1b001bed43dbe9f36ff77,3.343,1,151
normal,0xcf9df99e513d070b332429151e576014d456b910,0x28526f824b64f4a940690ae223310632fab09b9c,7.7387,1,130
begging,0x1d1115fe6b744c9dcc29d0c40a3d305d66bb7cf1,0xe724333f7375e3bcbec520c0c454921cf1afac79,1.8319,1,108
normal,0x14071ba6ee2c1562bb67f7a529b76e91f7196d63,0xf54ccddafe2f5ee794b96897c7d576413e0148b2,5.1246,1,104
